Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C16, C17, C18, C19, C22, C23, C25, C28, C29, C31, C32, C35, C36, C37, C40, C41, C50, C51, C52, C53, C56, C57, C58, C59, C64, C68, C69, C70, C73, C74, C77, C78, C81",0402,35,100n,C307331
"C10, C2, C26, C27, C30, C66, C67, C71, C72, C79, C9",0805,11,10u,C15850
"C12, C14, C15, C65",0603,4,18p,C1647
"C13, C80, C82, C86, C87, C88, C89",0402,7,4.7u,C76995
"C20, C21, C75, C76",0603,4,220p,C1603
"C24, C3",0603,2,4.7u,C19666
"C34, C4, C54",0402,3,1u,C52923
"C38, C39, C44, C45, C46, C47, C48, C49, C5, C6, C60, C61, C62, C63, C7, C8",0603,16,4.7n,C53987
"C42, C43",CP_Elec_6.3x5.9,2,220u,C134877
C55,0603,1,10n,C57112
"C83, C84, C85",0402,3,100n,C2185597
"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,11,D_Schottky,C8678
D12,0603,1,RED,C2286
"D14, D15, D16, D17, D18, D19, D20, D21",D_SOD-323,8,1N4148WS,C2128
D23,0603,1,BLUE,C2689219
FB1,0805,1,Ferrite_Bead_Small,C1017
"J28, J29, J30, J31, J32, J33",LUOYANG-DISHANG_PJ-320B,6,PJ-320B,C2884998
J5,PinHeader_2x07_P1.27mm_Vertical_SMD,1,SWD header,C3975190
L1,L_Murata_LQH55DN_5.7x5.0mm,1,10uH,C181721
Q1,SOT-23,1,MMBT3904,C20526
"R1, R103, R104, R22, R26, R27, R3, R32, R33, R36, R4, R5, R8",0402,13,100k,C25741
"R10, R11, R12, R30, R31, R42, R46, R85, R86",0402,9,22k,C25768
"R100, R29, R38, R39, R97",0603,5,2.2k,C4190
"R101, R102",0402,2,12k,C25752
"R105, R114, R115, R116",0402,4,5.1K,C25905
"R106, R13, R23, R28, R37, R43, R44, R45, R47, R48, R49, R56, R6, R66, R67, R83, R84, R87, R88, R89, R90, R98, R99",0402,23,10k,C25744
R107,0603,1,470R,C23179
"R108, R109",0603,2,220R,C22962
"R110, R111, R112, R58, R59, R60, R61, R62, R63, R64, R65",0603,11,47R,C23182
R113,0603,1,15R,C22810
"R117, R118, R119, R120",0402,4,20R,C276150
"R14, R15, R18, R19, R50, R51, R9",0402,7,33k,C25779
"R16, R17",0603,2,5.6k,C23189
"R2, R94, R95, R96",0603,4,1.5M,C4172
"R20, R21, R52, R53, R54, R55, R91, R92",0603,8,1k,C21190
R24,0603,1,8.2k,C25981
"R25, R7",0603,2,200k,C25811
"R34, R35, R40, R41, R57, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R93",0402,21,100R,C25076
"U1, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,MCP6002-xSN,C7377
"U10, U11, U16, U18, U5, U7",SOIC-8_3.9x4.9mm_P1.27mm,6,TL072,C6961
"U12, U14",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q32JVSS,C97521
U13,SOT-23-5,1,TPS61040DBV,C7722
U15,SOT-23-6,1,USBLC6-2SC6,C2687116
U17,LGA-12_2x2mm_P0.5mm,1,LIS2DH12,C110926
"U19, U20",HRO_TYPE-C-31-M-12,2,TYPE-C-31-M-14,C165948
"U2, U3",SOT-223-3_TabPin2,2,LM1117-3.3,C6186
U21,SSOP-8_3.9x5.05mm_P1.27mm,1,HCPL-0631-500E,C43949
U22,QFN40P400X400X80-33N,1,WM8904CGEFL_RV,C323845
U4,LQFP-100_14x14mm_P0.5mm,1,STM32L476VGT6,C83181
U6,SOT-223-3_TabPin2,1,LM1117-1.8,C126026
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,C13738
